day_id,weekday,time_slot,year,batch,activity,building,floor,students_present,total_students_year,is_peak_hour,is_lunch_window,occupancy_ratio
1,1,08:00,Engineering,Tech_A,Regular_Academic,Tech_Lab,Lab1,9034,15000,0,0,0.602
1,1,08:00,Engineering,Tech_B,Regular_Academic,Parking,Ground,7115,15000,0,0,0.474
1,1,08:00,MBA,MBA_1,Regular_Academic,Tech_Lab,Lab1,165,250,0,0,0.66
1,1,08:00,MBA,MBA_2,Regular_Academic,MBA_Block,Floor1,163,250,0,0,0.652
1,1,08:15,Engineering,Tech_A,Regular_Academic,Tech_Lab,Lab2,8021,15000,0,0,0.535
1,1,08:15,Engineering,Tech_B,Regular_Academic,Placement,Floor1,9849,15000,0,0,0.657
1,1,08:15,MBA,MBA_1,Regular_Academic,Placement,Floor1,125,250,0,0,0.5
1,1,08:15,MBA,MBA_2,Regular_Academic,MBA_Block,Floor2,178,250,0,0,0.712
1,1,08:30,Engineering,Tech_A,Regular_Academic,Parking,Ground,9193,15000,0,0,0.613
1,1,08:30,Engineering,Tech_B,Regular_Academic,Parking,Ground,8256,15000,0,0,0.55
1,1,08:30,MBA,MBA_1,Regular_Academic,Tech_Lab,Lab1,151,250,0,0,0.604
1,1,08:30,MBA,MBA_2,Regular_Academic,Placement,Floor1,172,250,0,0,0.688
1,1,08:45,Engineering,Tech_A,Regular_Academic,Parking,Ground,10828,15000,0,0,0.722
1,1,08:45,Engineering,Tech_B,Regular_Academic,Java_Cafeteria,Ground,11690,15000,0,0,0.779
1,1,08:45,MBA,MBA_1,Regular_Academic,Parking,Ground,127,250,0,0,0.508
1,1,08:45,MBA,MBA_2,Regular_Academic,Tech_Class,Floor3,117,250,0,0,0.468
1,1,09:00,Engineering,Tech_A,Academic_Peak,Tech_Class,Floor1,13984,15000,1,0,0.932
1,1,09:00,Engineering,Tech_B,Academic_Peak,Tech_Class,Floor3,14258,15000,1,0,0.951
1,1,09:00,MBA,MBA_1,Academic_Peak,MBA_Block,Floor1,246,250,1,0,0.984
1,1,09:00,MBA,MBA_2,Academic_Peak,MBA_Block,Floor2,218,250,1,0,0.872
1,1,09:15,Engineering,Tech_A,Academic_Peak,Tech_Class,Floor1,13236,15000,1,0,0.882
1,1,09:15,Engineering,Tech_B,Academic_Peak,Tech_Class,Floor3,13819,15000,1,0,0.921
1,1,09:15,MBA,MBA_1,Academic_Peak,MBA_Block,Floor1,173,250,1,0,0.692
1,1,09:15,MBA,MBA_2,Academic_Peak,MBA_Block,Floor2,186,250,1,0,0.744
1,1,09:30,Engineering,Tech_A,Academic_Peak,Tech_Class,Floor2,11100,15000,1,0,0.74
1,1,09:30,Engineering,Tech_B,Academic_Peak,Tech_Class,Floor2,11822,15000,1,0,0.788
1,1,09:30,MBA,MBA_1,Academic_Peak,MBA_Block,Floor1,195,250,1,0,0.78
1,1,09:30,MBA,MBA_2,Academic_Peak,MBA_Block,Floor2,196,250,1,0,0.784
1,1,09:45,Engineering,Tech_A,Academic_Peak,Tech_Class,Floor1,9835,15000,1,0,0.656
