equipment_id,usage_hours,avg_temperature,maintenance_history,age_days,failure_probability,risk_category
EQ_001,8853,64.57,3,746,0.6737,Medium
EQ_002,9000,45.31,1,375,0.4756,Medium
EQ_003,2018,39.21,6,495,0.0,Low
EQ_004,6912,45.51,4,426,0.2593,Low
EQ_005,2520,44.61,1,105,0.1284,Low
EQ_006,8975,52.98,1,709,0.6515,Medium
EQ_007,3727,61.5,0,708,0.5764,Medium
EQ_008,7044,38.16,6,931,0.2611,Low
EQ_009,4355,24.0,0,571,0.3455,Medium
EQ_010,6000,58.68,8,250,0.1018,Low
EQ_011,4353,42.67,4,553,0.1667,Low
EQ_012,6994,37.01,0,548,0.4442,Medium
EQ_013,2614,63.79,2,858,0.4999,Medium
EQ_014,9152,55.72,6,840,0.4753,Medium
EQ_015,1921,53.28,3,786,0.2954,Low
EQ_016,1632,48.57,5,68,0.0,Low
EQ_017,4821,51.36,8,247,0.0,Low
EQ_018,1981,55.16,3,526,0.2387,Low
EQ_019,6904,47.98,7,631,0.1953,Low
EQ_020,6696,42.87,7,279,0.0302,Low
EQ_021,320,40.67,9,325,0.0,Low
EQ_022,3280,31.07,9,239,0.0,Low
EQ_023,5541,32.16,6,737,0.1427,Low
EQ_024,6360,57.68,2,622,0.5178,Medium
EQ_025,1392,30.96,0,58,0.0731,Low
EQ_026,3400,63.89,7,560,0.1929,Low
EQ_027,3960,51.37,0,165,0.3216,Medium
EQ_028,2564,31.52,4,806,0.1444,Low
EQ_029,3600,44.74,0,150,0.2364,Low
EQ_030,4416,38.59,1,218,0.192,Low
EQ_031,3361,54.6,8,817,0.1255,Low
EQ_032,7097,40.39,8,974,0.18,Low
EQ_033,3196,26.6,9,699,0.0,Low
EQ_034,5928,42.3,4,247,0.1342,Low
EQ_035,9172,47.14,1,534,0.5485,Medium
EQ_036,3576,35.4,9,592,0.0,Low
EQ_037,8141,51.42,9,894,0.258,Low
EQ_038,7831,53.32,2,358,0.4539,Medium
EQ_039,8929,57.0,7,844,0.4304,Medium
EQ_040,7762,37.38,8,873,0.1724,Low
EQ_041,9148,51.64,8,917,0.3574,Medium
EQ_042,9100,42.55,4,703,0.4004,Medium
EQ_043,9711,39.05,4,758,0.4158,Medium
EQ_044,8953,57.8,4,604,0.5173,Medium
EQ_045,2392,44.08,2,659,0.2341,Low
EQ_046,2616,36.17,1,109,0.0873,Low
EQ_047,3301,59.95,9,207,0.0,Low
EQ_048,2555,60.67,4,567,0.279,Low
EQ_049,3168,57.48,4,132,0.1411,Low
EQ_050,1968,43.14,6,201,0.0,Low
EQ_051,2754,45.58,6,235,0.0,Low
EQ_052,1508,40.45,3,741,0.1371,Low
EQ_053,3609,56.64,7,364,0.0699,Low
EQ_054,1823,44.97,4,756,0.1494,Low
EQ_055,1131,35.16,0,324,0.1424,Low
EQ_056,5644,54.97,9,552,0.091,Low
EQ_057,3370,45.44,5,370,0.0502,Low
EQ_058,1539,62.65,0,546,0.4519,Medium
EQ_059,2762,59.05,8,488,0.0474,Low
EQ_060,4738,51.93,0,855,0.5653,Medium
EQ_061,7238,60.95,9,690,0.256,Low
EQ_062,8825,53.96,2,561,0.5609,Medium
EQ_063,3048,41.1,6,127,0.0,Low
EQ_064,6048,34.49,3,252,0.1675,Low
EQ_065,7365,40.76,9,622,0.0388,Low
EQ_066,1830,31.46,3,426,0.051,Low
EQ_067,2716,37.39,8,479,0.0,Low
EQ_068,5658,37.74,9,893,0.0442,Low
EQ_069,2249,44.0,1,157,0.1271,Low
EQ_070,5379,36.71,4,542,0.1778,Low
EQ_071,5731,36.55,1,576,0.352,Medium
EQ_072,9598,50.73,0,827,0.7394,High
EQ_073,8603,41.28,2,475,0.3994,Medium
EQ_074,6574,67.39,2,797,0.676,Medium
EQ_075,1608,58.77,3,67,0.1222,Low
EQ_076,3888,37.46,5,162,0.0,Low
EQ_077,1865,62.69,2,430,0.3305,Medium
EQ_078,3640,40.37,6,686,0.0551,Low
EQ_079,9622,52.4,4,499,0.4586,Medium
EQ_080,759,32.71,8,492,0.0,Low
EQ_081,5825,43.44,5,287,0.1035,Low
EQ_082,7375,43.99,8,918,0.2103,Low
EQ_083,1712,52.67,5,476,0.088,Low
EQ_084,588,44.71,2,860,0.2286,Low
EQ_085,5739,57.24,9,642,0.1446,Low
EQ_086,9385,52.78,9,461,0.1915,Low
EQ_087,494,45.45,9,422,0.0,Low
EQ_088,7325,57.96,5,697,0.4317,Medium
EQ_089,454,41.89,1,251,0.0623,Low
EQ_090,3602,42.71,1,576,0.294,Low
EQ_091,7670,52.56,8,643,0.2253,Low
EQ_092,7554,41.96,8,989,0.2184,Low
EQ_093,9245,50.01,5,825,0.4674,Medium
EQ_094,3574,48.63,3,717,0.2944,Low
EQ_095,7536,45.73,0,314,0.453,Medium
EQ_096,3370,46.22,6,503,0.0479,Low
EQ_097,2760,60.64,6,115,0.0513,Low
EQ_098,451,35.78,3,410,0.0,Low
EQ_099,2448,77.17,2,102,0.4003,Medium
EQ_100,170,41.45,3,400,0.0,Low
